	SDG	SDG in local languages	sum
www.copenhagenconsensus.com/	18	43	61
www.africaprogresspanel.org/SDG	0	24	24
wsds.teriin.org/2016	1	22	23
www.unitedworldschools.org/	1	13	14
www.africaprogresspanel.org/Report	0	13	13
www.wateraidcanada.com/	1	9	10
www.geres.eu/soutenir/adherents	0	4	4
www.thehagueacademy.com/	2	1	3
digitalarchive.wilsoncenter.org/	0	2	2
eu.spindices.com/sustainability	0	2	2
www.boldogsagprogram.hu/celok-kituzese	0	1	1
www.cfr.org/	0	1	1
www.cigionline.org/DevelopmentGoals	0	1	1
www.ecosystemmarketplace.com/	0	1	1
