code	name	l_code
	any language	
lang_af	Afrikaans	af
lang_ar	Arabic	ar
lang_hy	Armenian	hy
lang_be	Belarusian	be
lang_bg	Bulgarian	bg
lang_ca	Catalan	ca
lang_zh-CN	Chinese (Simplified)	zh-CN
lang_zh-TW	Chinese (Traditional)	zh-TW
lang_hr	Croatian	hr
lang_cs	Czech	cs
lang_da	Danish	da
lang_nl	Dutch	nl
lang_en	English	en
lang_eo	Esperanto	eo
lang_et	Estonian	et
lang_tl	Filipino	tl
lang_fi	Finnish	fi
lang_fr	French	fr
lang_de	German	de
lang_el	Greek	el
lang_iw	Hebrew	iw
lang_hi	Hindi	hi
lang_hu	Hungarian	hu
lang_is	Icelandic	is
lang_id	Indonesian	id
lang_it	Italian	it
lang_ja	Japanese	ja
lang_ko	Korean	ko
lang_lv	Latvian	lv
lang_lt	Lithuanian	lt
lang_no	Norwegian	no
lang_fa	Persian	fa
lang_pl	Polish	pl
lang_pt	Portuguese	pt
lang_ro	Romanian	ro
lang_ru	Russian	ru
lang_sr	Serbian	sr
lang_sk	Slovak	sk
lang_sl	Slovenian	sl
lang_es	Spanish	es
lang_sw	Swahili	sw
lang_sv	Swedish	sv
lang_th	Thai	th
lang_tr	Turkish	tr
lang_uk	Ukrainian	uk
lang_vi	Vietnamese	vi
